Date: 2025-05-01 16:06:21, Time_Cost: 425s, Epoch: [1/200], Train_PSNR: 19.29, Val_PSNR: 19.22, Val_SSIM: 0.6219
Date: 2025-05-01 16:13:09, Time_Cost: 408s, Epoch: [2/200], Train_PSNR: 19.54, Val_PSNR: 19.54, Val_SSIM: 0.6324
Date: 2025-05-01 16:19:51, Time_Cost: 401s, Epoch: [3/200], Train_PSNR: 19.75, Val_PSNR: 19.20, Val_SSIM: 0.6356
Date: 2025-05-01 16:26:36, Time_Cost: 405s, Epoch: [4/200], Train_PSNR: 19.95, Val_PSNR: 19.49, Val_SSIM: 0.6405
Date: 2025-05-01 16:33:13, Time_Cost: 397s, Epoch: [5/200], Train_PSNR: 20.02, Val_PSNR: 20.13, Val_SSIM: 0.6485
Date: 2025-05-01 16:40:13, Time_Cost: 420s, Epoch: [6/200], Train_PSNR: 20.15, Val_PSNR: 19.97, Val_SSIM: 0.6508
Date: 2025-05-01 16:47:18, Time_Cost: 425s, Epoch: [7/200], Train_PSNR: 20.26, Val_PSNR: 20.01, Val_SSIM: 0.6548
Date: 2025-05-01 16:54:30, Time_Cost: 432s, Epoch: [8/200], Train_PSNR: 20.33, Val_PSNR: 20.21, Val_SSIM: 0.6593
Date: 2025-05-01 17:01:33, Time_Cost: 424s, Epoch: [9/200], Train_PSNR: 20.47, Val_PSNR: 19.97, Val_SSIM: 0.6547
Date: 2025-05-01 17:08:41, Time_Cost: 428s, Epoch: [10/200], Train_PSNR: 20.52, Val_PSNR: 20.23, Val_SSIM: 0.6605
Date: 2025-05-01 17:16:02, Time_Cost: 441s, Epoch: [11/200], Train_PSNR: 20.58, Val_PSNR: 19.93, Val_SSIM: 0.6546
Date: 2025-05-01 17:23:28, Time_Cost: 445s, Epoch: [12/200], Train_PSNR: 20.60, Val_PSNR: 20.26, Val_SSIM: 0.6618
Date: 2025-05-01 17:30:55, Time_Cost: 447s, Epoch: [13/200], Train_PSNR: 20.72, Val_PSNR: 20.19, Val_SSIM: 0.6638
Date: 2025-05-01 17:38:24, Time_Cost: 450s, Epoch: [14/200], Train_PSNR: 20.76, Val_PSNR: 20.36, Val_SSIM: 0.6648
Date: 2025-05-01 17:45:58, Time_Cost: 453s, Epoch: [15/200], Train_PSNR: 20.84, Val_PSNR: 20.65, Val_SSIM: 0.6678
Date: 2025-05-01 17:53:22, Time_Cost: 445s, Epoch: [16/200], Train_PSNR: 20.93, Val_PSNR: 20.07, Val_SSIM: 0.6613
Date: 2025-05-01 18:00:49, Time_Cost: 447s, Epoch: [17/200], Train_PSNR: 20.93, Val_PSNR: 20.53, Val_SSIM: 0.6680
Date: 2025-05-01 18:08:23, Time_Cost: 454s, Epoch: [18/200], Train_PSNR: 21.05, Val_PSNR: 20.60, Val_SSIM: 0.6690
Date: 2025-05-01 18:15:52, Time_Cost: 449s, Epoch: [19/200], Train_PSNR: 21.08, Val_PSNR: 20.47, Val_SSIM: 0.6685
Date: 2025-05-01 18:23:39, Time_Cost: 467s, Epoch: [20/200], Train_PSNR: 21.46, Val_PSNR: 20.87, Val_SSIM: 0.6687
Date: 2025-05-01 18:31:34, Time_Cost: 474s, Epoch: [21/200], Train_PSNR: 21.50, Val_PSNR: 20.87, Val_SSIM: 0.6718
Date: 2025-05-01 18:39:26, Time_Cost: 472s, Epoch: [22/200], Train_PSNR: 21.56, Val_PSNR: 20.90, Val_SSIM: 0.6739
